City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
1,Mar Del Plata,AR,50.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
3,Port Alfred,ZA,73.4,overcast clouds,-33.5906,26.891,The Halyards Hotel
5,Westport,US,53.85,fog,41.1415,-73.3579,The Inn at Longshore
9,Rio Grande,BR,64.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
11,Albany,US,50.95,overcast clouds,42.6001,-73.9662,
13,Margate,GB,47.3,clear sky,51.3813,1.3862,Premier Inn Margate hotel
16,Cape Town,ZA,67.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
17,Hermanus,ZA,69.8,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Comodoro Rivadavia,AR,49.86,scattered clouds,-45.8667,-67.5,Austral Hotel
19,Korla,CN,55.11,overcast clouds,41.7597,86.1469,Gulisitan Hotel
20,Jamestown,US,54.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Xining,CN,56.73,overcast clouds,36.6167,101.7667,Super Leisure Hotel
31,Bluff,NZ,66.79,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
33,Cooma,AU,71.37,scattered clouds,-36.2333,149.1333,High Country Motel
34,Atlantis,ZA,65.17,clear sky,-33.5667,18.4834,Sunrise Farm
36,Shenjiamen,CN,50.9,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
38,Busselton,AU,66.56,light rain,-33.65,115.3333,Observatory Guest House
42,Hasaki,JP,64.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
47,Freeport,US,51.49,mist,40.6576,-73.5832,The Freeport Inn and Marina
48,Guerrero Negro,MX,59.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
49,Tonantins,BR,72.68,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
53,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
54,Bethel,US,56.77,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
56,Mataura,NZ,66.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
58,Mayo,US,61.48,clear sky,38.8876,-76.5119,Resorts Resource Group International
66,Hobart,AU,72.23,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
69,Gitega,BI,63.93,scattered clouds,-3.5,29.95,Le QUINQUINA
70,Kasempa,ZM,65.07,overcast clouds,-13.4584,25.8338,Lolelunga Forest Reserve
74,Carmo Do Paranaiba,BR,62.74,few clouds,-19.0008,-46.3161,carmo do paranaiba
76,Saldanha,ZA,60.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
77,Lebu,CL,55.11,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
79,Palmer,US,55.67,broken clouds,42.1584,-72.3287,Wedgewood Motel
81,Cidreira,BR,72.41,light rain,-30.1811,-50.2056,Hotel Castelo
85,New Norfolk,AU,71.89,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
86,Altamira,BR,71.8,overcast clouds,-3.2033,-52.2064,Requinte Hotel
91,Laguna,US,59.43,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
92,Houma,US,64.4,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
93,Namibe,AO,73.53,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
94,Oneonta,US,58.84,overcast clouds,42.4529,-75.0638,Hampton Inn Oneonta
96,Flinders,AU,73.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
97,Rocha,UY,56.91,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
99,Lata,PT,45.91,clear sky,40.1629,-8.3327,Casa Maquia
103,Brattvag,NO,51.37,overcast clouds,62.6002,6.4434,Brattvåg Fjordhotell
106,Capinopolis,BR,71.04,scattered clouds,-18.6819,-49.5697,Tropical Hotel
109,Tomigusuku,JP,73.53,few clouds,26.185,127.675,Hotel Gran View Okinawa
114,Broome,US,57.61,moderate rain,42.2506,-75.833,Chenango Valley State Park
115,Pacific Grove,US,53.71,overcast clouds,36.6177,-121.9166,Lovers Point Inn
119,Nishihara,JP,73.06,scattered clouds,26.1842,127.7558,Minshuku Agaihama
121,Half Moon Bay,US,54.63,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
122,Caxito,AO,73.47,overcast clouds,-8.5785,13.6643,
123,Naze,JP,63.52,broken clouds,28.3667,129.4833,Shishime Hotel
124,Nouadhibou,MR,60.78,clear sky,20.931,-17.0347,El Medina
125,Soe,ID,74.62,overcast clouds,-9.8607,124.284,Dena Hotel
126,Morros,BR,73.72,overcast clouds,-9.4467,-46.3003,
127,Hami,CN,53.38,overcast clouds,42.8,93.45,Laoyutang Resort
128,Hilo,US,73.13,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
133,Bredasdorp,ZA,68.94,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
136,Colares,PT,55.33,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
137,San Juan,AR,64.02,scattered clouds,-31.5375,-68.5364,Hotel Provincial
139,Amapa,BR,70.52,overcast clouds,1.0,-52.0,
