City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Wind Direction,Weather,Country,Date
0,Rikitea,-23.1203,-134.9692,80.28,74,24,9.44,30,few clouds,PF,2022-03-19 05:49:23
1,Mar Del Plata,-38.0023,-57.5575,50.88,70,0,5.01,271,clear sky,AR,2022-03-19 05:49:24
2,Puerto Ayora,-0.7393,-90.3518,77.88,80,24,4.81,158,few clouds,EC,2022-03-19 05:46:26
3,Port Alfred,-33.5906,26.891,73.4,85,100,8.48,67,overcast clouds,ZA,2022-03-19 05:49:25
4,Kapaa,22.0752,-159.319,78.78,75,40,14.97,50,scattered clouds,US,2022-03-19 05:49:25
5,Westport,41.1415,-73.3579,53.85,96,100,5.01,161,fog,US,2022-03-19 05:49:25
6,Sitka,57.0531,-135.33,39.09,75,75,10.36,110,broken clouds,US,2022-03-19 05:49:26
7,Muyezerskiy,63.9333,31.65,29.35,87,43,9.17,247,scattered clouds,RU,2022-03-19 05:49:26
8,Sasni,27.7167,78.0833,97.47,15,3,6.02,213,clear sky,IN,2022-03-19 05:49:27
9,Rio Grande,-32.035,-52.0986,64.51,83,100,19.44,197,overcast clouds,BR,2022-03-19 05:49:27
10,Cap Malheureux,-19.9842,57.6142,86.47,79,51,4.0,27,broken clouds,MU,2022-03-19 05:49:27
11,Albany,42.6001,-73.9662,50.95,79,100,1.54,102,overcast clouds,US,2022-03-19 05:49:28
12,Varnamo,57.186,14.04,33.89,78,0,2.82,50,clear sky,SE,2022-03-19 05:49:28
13,Margate,51.3813,1.3862,47.3,75,0,5.01,92,clear sky,GB,2022-03-19 05:49:29
14,Punta Arenas,-53.15,-70.9167,39.31,75,0,4.61,290,clear sky,CL,2022-03-19 05:45:44
15,Torbay,47.6666,-52.7314,38.28,98,100,13.8,330,light intensity drizzle,CA,2022-03-19 05:45:20
16,Cape Town,-33.9258,18.4232,67.1,76,0,11.5,230,clear sky,ZA,2022-03-19 05:46:25
17,Hermanus,-34.4187,19.2345,69.8,85,12,10.36,89,few clouds,ZA,2022-03-19 05:49:30
