City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2022-03-14 04:27:03,69.4541,-133.0374,-9.4,77,40,12.66
1,Rikitea,PF,2022-03-14 04:27:04,-23.1203,-134.9692,80.49,71,70,14.36
2,Kodiak,US,2022-03-14 04:27:04,57.79,-152.4072,38.71,81,100,16.11
3,Bethel,US,2022-03-14 04:22:34,41.3712,-73.414,29.93,72,100,0.0
4,Lagoa,PT,2022-03-14 04:27:05,39.05,-27.9833,55.11,62,82,8.12
5,East London,ZA,2022-03-14 04:27:06,-33.0153,27.9116,63.54,88,75,20.71
6,Georgetown,MY,2022-03-14 04:26:00,5.4112,100.3354,87.73,77,20,4.61
7,Khatanga,RU,2022-03-14 04:27:06,71.9667,102.5,-1.46,94,100,11.52
8,Cape Town,ZA,2022-03-14 04:24:03,-33.9258,18.4232,57.61,66,20,8.05
9,Kalna,IN,2022-03-14 04:27:07,23.2167,88.3667,88.11,21,27,6.71
10,Jamestown,US,2022-03-14 04:22:13,42.097,-79.2353,35.71,48,100,11.01
11,Saint-Augustin,CA,2022-03-14 04:27:08,51.226,-58.6502,7.14,72,100,19.08
12,Butaritari,KI,2022-03-14 04:27:08,3.0707,172.7902,81.68,74,4,18.39
13,Agadez,NE,2022-03-14 04:27:09,19.75,10.25,57.49,16,0,8.32
14,Ushuaia,AR,2022-03-14 04:27:09,-54.8,-68.3,38.86,75,100,18.41
15,Avarua,CK,2022-03-14 04:27:10,-21.2078,-159.775,82.45,78,99,5.75
16,Touros,BR,2022-03-14 04:27:10,-5.1989,-35.4608,79.11,83,90,6.55
17,Pimentel,PE,2022-03-14 04:27:11,-6.8367,-79.9342,73.2,78,67,5.5
18,Esperance,AU,2022-03-14 04:27:12,-33.8667,121.9,82.24,60,11,17.31
19,Sao Gabriel Da Cachoeira,BR,2022-03-14 04:24:46,-0.1303,-67.0892,71.56,100,100,1.68
20,Kem,RU,2022-03-14 04:27:13,64.9555,34.5793,26.08,95,100,4.47
21,Coxim,BR,2022-03-14 04:27:13,-18.5067,-54.76,73.15,91,75,1.01
22,Bengkulu,ID,2022-03-14 04:27:13,-3.8004,102.2655,84.31,67,100,7.78
23,Punta Arenas,CL,2022-03-14 04:27:14,-53.15,-70.9167,41.11,81,20,27.63
24,Mataura,NZ,2022-03-14 04:27:15,-46.1927,168.8643,66.47,51,67,7.4
25,Saint George,US,2022-03-14 04:26:40,37.1041,-113.5841,59.63,19,0,5.01
26,Nikolskoye,RU,2022-03-14 04:24:41,59.7035,30.7861,33.87,97,100,3.09
27,Muisne,EC,2022-03-14 04:27:16,0.6,-80.0333,76.33,89,57,1.92
28,Shelburne,CA,2022-03-14 04:27:16,44.0787,-80.2041,27.12,86,90,14.14
29,Port Alfred,ZA,2022-03-14 04:27:17,-33.5906,26.891,65.95,85,100,26.69
30,Uribia,CO,2022-03-14 04:27:17,11.7139,-72.266,78.28,74,84,15.41
31,Yaan,NG,2022-03-14 04:27:18,7.3833,8.5667,81.05,50,32,3.58
32,Lobito,AO,2022-03-14 04:27:18,-12.3481,13.5456,78.13,82,100,4.54
33,Qaanaaq,GL,2022-03-14 04:27:19,77.484,-69.3632,-8.72,100,100,1.83
34,Tiksi,RU,2022-03-14 04:27:19,71.6872,128.8694,-14.19,97,98,1.88
35,Constitucion,CL,2022-03-14 04:27:20,-35.3333,-72.4167,60.49,71,0,3.02
36,Albany,US,2022-03-14 04:24:58,42.6001,-73.9662,26.76,71,41,1.01
37,Kapaa,US,2022-03-14 04:27:21,22.0752,-159.319,78.78,72,75,11.5
38,Ponta Do Sol,PT,2022-03-14 04:27:21,32.6667,-17.1,51.12,72,84,24.58
39,Carballo,ES,2022-03-14 04:27:22,43.213,-8.691,47.86,93,99,3.56
40,Roma,US,2022-03-14 04:27:22,43.2128,-75.4557,28.96,75,100,5.75
41,Mvomero,TZ,2022-03-14 04:27:23,-6.25,38.6667,76.84,85,100,2.48
42,New Norfolk,AU,2022-03-14 04:27:23,-42.7826,147.0587,62.1,65,100,1.99
43,Grindavik,IS,2022-03-14 04:27:24,63.8424,-22.4338,37.87,70,75,26.46
44,San Cristobal,VE,2022-03-14 04:27:24,7.7669,-72.225,69.98,96,100,1.57
45,Petrovskaya,RU,2022-03-14 04:27:25,45.4314,37.955,27.52,66,11,5.86
46,Alugan,PH,2022-03-14 04:28:25,12.2188,125.4808,83.35,76,97,7.09
47,Menongue,AO,2022-03-14 04:28:26,-14.6585,17.691,62.33,98,100,4.29
48,Markova,UA,2022-03-14 04:28:27,48.6758,24.4138,21.58,89,25,3.67
49,Riyadh,SA,2022-03-14 04:27:55,24.6877,46.7219,57.34,47,2,5.99
